City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Kulhudhuffushi,MV,83.03,scattered clouds,6.6221,73.07,Haajy Guest House 1
422,Richards Bay,ZA,75.29,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
423,Ambon,ID,81.72,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
424,Benguela,AO,80.04,few clouds,-12.5763,13.4055,Hotel Praia Morena
425,Sola,VU,82.09,moderate rain,-13.8833,167.55,Leumerus Bungalows
426,Prachuap Khiri Khan,TH,72.45,few clouds,12.2167,99.75,สมบัติยาย
432,Champerico,GT,84.2,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
433,Mossendjo,CG,74.75,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
436,Balaghat,IN,71.46,broken clouds,21.8,80.1833,Hotel celebration
439,Las Rosas,AR,72.39,broken clouds,-32.4766,-61.5804,Hotel El Portal
443,Salima,MW,72.63,scattered clouds,-13.7804,34.4587,YAMIKANI LODGE
444,Frederico Westphalen,BR,82.99,few clouds,-27.3592,-53.3944,Hotel Palace Frederico
445,Sakhipur,BD,82.4,haze,24.3,90.1833,জুনিয়র এফ.সি-ক্লাব-২
447,Vanimo,PG,77.72,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
449,Vaitape,PF,81.97,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
451,Mindelo,CV,77.0,scattered clouds,16.8901,-24.9804,Hotel Gaudi
453,Jati,PK,74.7,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
454,Chiriqui,PA,87.8,few clouds,8.4,-82.3167,Tucan Lodge Panama
455,Buraydah,SA,82.4,clear sky,26.326,43.975,فندق راحة السلام
456,Malanje,AO,71.19,broken clouds,-9.5402,16.340999999999998,Malanje Hotel
457,Cap Malheureux,MU,77.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
461,Naifaru,MV,83.25,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
462,Itubera,BR,79.45,overcast clouds,-13.7322,-39.1492,Pousada Baixo Sul.
463,Faridpur,BD,82.4,moderate rain,23.6,89.8333,Progoti hostel
466,Bonthe,SL,85.05,clear sky,7.5264,-12.505,Bonthe Holiday Village
471,Buchanan,LR,86.0,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
474,Ibirataia,BR,85.21,overcast clouds,-14.0669,-39.6406,Pousada e Restaurante Rancho Nativo
477,Bubaque,GW,76.6,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
478,Gua Musang,MY,72.86,clear sky,4.8823,101.9644,Mines Inn Hotel
481,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
482,Vilhena,BR,77.0,broken clouds,-12.7406,-60.1458,Hotel Mirage
484,Bayshore Gardens,US,70.0,broken clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
486,Buala,SB,79.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
489,Mankono,CI,93.74,few clouds,8.0586,-6.1897,Hotel Cajoux
