City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Caravelas,BR,-17.7125,-39.2481,84.81,57,68,9.13,broken clouds
312,Evensk,RU,61.95,159.2333,0.72,81,100,11.01,overcast clouds
313,Goundi,TD,9.3627,17.366,95.97,24,69,2.44,broken clouds
314,Kamaishi,JP,39.2667,141.8833,37.81,72,39,3.56,scattered clouds
315,Asaka,JP,35.8047,139.6019,57.0,66,93,1.99,overcast clouds
316,La Roda,ES,39.2167,-2.15,44.6,76,75,11.5,light rain
317,Wad Rawah,SD,15.1603,33.1397,90.75,11,25,13.15,scattered clouds
318,Mbanza-Ngungu,CD,-5.25,14.8667,73.22,86,37,3.15,scattered clouds
319,Sesvete,HR,45.8311,16.1164,45.0,45,0,5.75,clear sky
320,Lipari,IT,38.4674,14.954,57.0,68,99,3.0,overcast clouds
321,Asau,RO,46.4333,26.4,33.01,68,100,2.95,light snow
322,Kedrovyy,RU,56.1667,91.8167,24.8,50,0,6.71,clear sky
323,Calatayud,ES,41.3535,-1.6432,51.8,93,75,12.66,broken clouds
324,Santo Cristo,PH,15.2907,120.8842,77.0,94,75,2.3,broken clouds
325,Ayr,GB,55.4627,-4.6339,51.8,71,0,10.36,clear sky
326,Vila Velha,BR,-20.3297,-40.2925,87.01,58,20,12.66,few clouds
327,Miri,MY,4.4148,114.0089,78.8,94,40,4.61,scattered clouds
328,Sorland,NO,67.667,12.6934,42.8,70,75,17.27,broken clouds
329,Honiara,SB,-9.4333,159.95,77.59,85,64,2.62,broken clouds
330,Fort Nelson,CA,58.8053,-122.7002,30.2,59,75,6.91,broken clouds
331,Haverfordwest,GB,51.8017,-4.9691,54.0,75,52,7.0,broken clouds
332,Anadyr,RU,64.75,177.4833,-20.0,69,0,8.95,clear sky
333,Buri,BR,-23.7975,-48.5928,78.71,75,54,8.81,broken clouds
334,Sao Filipe,CV,14.8961,-24.4956,74.25,68,0,10.67,clear sky
335,Carutapera,BR,-1.195,-46.02,82.13,78,69,3.87,broken clouds
336,Minab,IR,27.1467,57.0801,77.0,53,21,6.91,few clouds
337,Ancud,CL,-41.8697,-73.8203,57.99,67,75,3.44,broken clouds
338,Gamba,GA,-2.65,10.0,77.09,82,98,0.47,overcast clouds
339,Kazachinskoye,RU,57.6953,93.2761,24.49,88,100,8.99,overcast clouds
340,Lixourion,GR,38.2019,20.4314,57.2,77,20,1.32,few clouds
341,Sasebo,JP,33.1592,129.7228,57.99,61,100,1.01,light rain
342,Dryden,CA,49.7833,-92.7503,42.8,45,1,16.11,clear sky
343,Maarianhamina,AX,60.0973,19.9348,26.6,46,0,5.75,clear sky
344,San Carlos De Bariloche,AR,-41.1456,-71.3082,70.0,41,20,25.32,few clouds
345,Santa Rosa,PH,14.3122,121.1114,82.99,78,20,4.61,few clouds
346,Altamira,BR,-3.2033,-52.2064,84.2,65,75,3.44,broken clouds
347,Bathsheba,BB,13.2167,-59.5167,84.2,54,40,17.27,scattered clouds
