City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Sola,VU,2021-01-30 21:07:13,-13.8833,167.55,81.21,79,90,16.55
111,Bathsheba,BB,2021-01-30 21:07:13,13.2167,-59.5167,80.6,65,20,14.97
112,Saskylakh,RU,2021-01-30 21:07:13,71.9167,114.0833,-36.2,80,100,10.0
113,Beloha,MG,2021-01-30 21:07:10,-25.1667,45.05,77.2,76,3,5.12
114,Pacific Grove,US,2021-01-30 21:07:14,36.6177,-121.9166,57.99,62,1,5.75
115,Yarmouth,US,2021-01-30 21:04:17,41.7057,-70.2286,21.2,45,1,8.05
116,Xiaoshi,CN,2021-01-30 21:07:14,41.2971,124.1209,1.4,66,0,8.95
117,Rio Gallegos,AR,2021-01-30 21:05:33,-51.6226,-69.2181,66.2,32,20,19.57
118,Brae,GB,2021-01-30 21:07:15,60.3964,-1.353,37.4,75,75,12.66
119,Berdigestyakh,RU,2021-01-30 21:07:15,62.0989,126.6992,-49.74,75,70,0.54
120,Jandaia Do Sul,BR,2021-01-30 21:07:15,-23.6031,-51.6433,77.0,83,75,6.91
121,Ungheni,MD,2021-01-30 21:07:15,47.2042,27.7958,41.0,70,0,5.75
122,Georgetown,MY,2021-01-30 21:07:15,5.4112,100.3354,77.0,78,20,3.44
123,Carnarvon,AU,2021-01-30 21:07:15,-24.8667,113.6333,80.6,94,4,6.91
124,Esil,KZ,2021-01-30 21:07:15,51.9556,66.4042,17.35,94,100,8.72
125,Mount Isa,AU,2021-01-30 21:07:16,-20.7333,139.5,84.2,42,40,3.44
126,Klaksvik,FO,2021-01-30 21:07:16,62.2266,-6.589,33.8,80,75,17.27
127,Denpasar,ID,2021-01-30 21:07:16,-8.65,115.2167,80.6,83,40,14.97
128,Lecce,IT,2021-01-30 21:07:16,40.2167,18.1667,54.0,93,40,8.05
129,Jamestown,US,2021-01-30 21:04:16,42.097,-79.2353,25.0,68,90,3.44
130,Batemans Bay,AU,2021-01-30 21:07:16,-35.7167,150.1833,63.0,89,100,4.0
131,Oildale,US,2021-01-30 21:07:16,35.4197,-119.0195,61.0,47,1,4.61
132,Tasiilaq,GL,2021-01-30 21:07:17,65.6145,-37.6368,21.2,42,90,24.16
133,Tadine,NC,2021-01-30 21:07:17,-21.55,167.8833,78.08,74,34,16.67
134,Broome,US,2021-01-30 21:06:32,42.2506,-75.833,21.0,63,1,11.5
135,Faanui,PF,2021-01-30 21:07:17,-16.4833,-151.75,81.3,70,70,7.56
136,Khatanga,RU,2021-01-30 21:07:17,71.9667,102.5,-46.1,77,29,0.87
137,Vyazemskiy,RU,2021-01-30 21:07:17,47.5378,134.7525,-18.99,84,0,7.74
138,Tuatapere,NZ,2021-01-30 21:06:33,-46.1333,167.6833,56.1,60,92,4.38
139,Rio Grande,BR,2021-01-30 21:07:18,-32.035,-52.0986,80.6,83,90,13.8
140,Lompoc,US,2021-01-30 21:06:30,34.6391,-120.4579,57.2,62,90,4.61
141,Kaitangata,NZ,2021-01-30 21:06:26,-46.2817,169.8464,60.01,76,67,4.0
142,Yellowknife,CA,2021-01-30 21:07:18,62.456,-114.3525,-6.0,76,75,3.44
143,Hofn,IS,2021-01-30 21:07:18,64.2539,-15.2082,20.73,87,98,21.47
144,Bengkulu,ID,2021-01-30 21:06:29,-3.8004,102.2655,75.16,89,100,5.59
145,Manicore,BR,2021-01-30 21:03:09,-5.8092,-61.3003,79.92,93,100,2.66
146,Necochea,AR,2021-01-30 21:06:58,-38.5473,-58.7368,66.99,52,100,14.99
147,Jalu,LY,2021-01-30 21:07:19,29.0331,21.5482,62.04,40,0,10.67
148,Weihe,CN,2021-01-30 21:07:19,32.9952,105.3247,35.15,70,89,3.31
149,Qasigiannguit,GL,2021-01-30 21:07:19,68.8193,-51.1922,3.2,72,90,5.75
150,Baffa,PK,2021-01-30 21:07:19,34.4378,73.2194,43.75,50,0,4.52
151,Dickinson,US,2021-01-30 21:07:19,29.4608,-95.0513,72.0,73,90,20.71
152,Port Lincoln,AU,2021-01-30 21:07:20,-34.7333,135.8667,60.31,80,0,13.38
153,Svetlogorsk,BY,2021-01-30 21:07:20,52.6333,29.7333,23.74,98,100,3.49
154,Atuona,PF,2021-01-30 21:06:35,-9.8,-139.0333,78.39,80,11,16.8
155,Prince Albert,CA,2021-01-30 21:03:01,53.2001,-105.7677,15.8,79,90,2.3
156,Souillac,MU,2021-01-30 21:06:19,-20.5167,57.5167,78.8,89,75,8.05
157,Buraydah,SA,2021-01-30 21:07:20,26.326,43.975,53.6,62,0,5.75
158,Ostrovnoy,RU,2021-01-30 21:06:34,68.0531,39.5131,13.68,95,100,9.89
159,Chokurdakh,RU,2021-01-30 21:07:21,70.6333,147.9167,-29.15,86,44,7.49
160,Kalamnuri,IN,2021-01-30 21:06:09,19.6667,77.3333,64.36,34,0,8.95
161,Basco,PH,2021-01-30 21:07:21,20.4487,121.9702,70.09,68,68,25.03
162,Maningrida,AU,2021-01-30 21:07:21,-12.0667,134.2667,77.13,91,25,5.79
